PERIODO,AGROPECUARIA_TOTAL,INDUSTRIAL_TOTAL,SERVICOS_TOTAL,VA,IMPOSTO,CONSUMO_FAMILIAS,CONSUMO_GOVERNO,FORMACAO_BRUTA_CAPITAL_FIXO,IMPORTACAO,EXPORTACAO,IPCA,DOLAR,TX_DESEMPREGO,TAXA_JUROS,PIB
01/03/1996," 10,054 ","41,474","112,836","164,363","24,960","125,685","35,666","35,403","14,773","12,306",20.55,0.99 ,6.9,1.9,"189,323"
01/06/1996,"10,703","45,839","121,690","178,232","26,378","132,511","39,023","39,326","17,470","14,576",16.26,1.00 ,6.9,1.9,"204,611"
01/09/1996,"11,096","49,011","134,057","194,164","27,349","142,658","41,810","41,418","20,928","15,560",13.26,1.02 ,6.9,1.82,"221,513"
01/12/1996,"8,906","54,631","147,001","210,538","28,778","156,087","52,324","43,187","22,949","15,085",9.56,1.04 ,6.9,1.7,"239,316"
01/03/1997,"12,338","49,072","130,715","192,125","26,992","147,808","42,139","42,697","19,333","13,162",8.99,1.06 ,7.8,1.58,"219,117"
01/06/1997,"11,625","55,636","137,028","204,289","28,600","154,447","45,485","46,189","22,570","17,402",7.02,1.07 ,7.8,1.58,"232,890"
01/09/1997,"10,871","57,089","148,662","216,623","29,556","157,598","45,830","47,287","25,171","18,529",5.5,1.09 ,7.8,1.58,"246,178"
01/12/1997,"9,771","53,320","160,615","223,706","30,198","161,954","52,540","45,894","24,255","17,398",5.22,1.11 ,7.8,38,"253,904"
01/03/1998,"11,869","52,455","142,118","206,441","29,259","157,103","46,994","45,595","21,714","16,099",4.52,1.13 ,9,28,"235,701"
01/06/1998,"14,202","58,383","148,554","221,139","30,797","159,194","49,307","48,379","22,896","18,805",3.41,1.16 ,9,21,"251,936"
01/09/1998,"13,143","58,112","156,762","228,016","30,027","163,447","49,839","47,636","25,366","18,786",2.27,1.18 ,9,19,"258,043"
01/12/1998,"8,399","52,759","165,189","226,347","30,324","163,187","55,037","44,249","24,326","16,781",1.65,1.21 ,9,29,"256,671"
01/03/1999,"14,190","51,004","151,486","216,680","33,988","164,893","48,863","44,121","25,847","22,153",3.02,1.88 ,9.6,45,"250,668"
01/06/1999,"13,487","62,478","157,083","233,048","35,661","170,252","51,749","47,152","29,001","24,728",3.32,1.79 ,9.6,39.5,"268,709"
01/09/1999,"11,736","61,145","164,335","237,216","36,910","178,811","53,944","46,383","32,971","27,646",6.25,1.88 ,9.6,21,"274,126"
01/12/1999,"11,121","61,915","181,938","254,974","39,234","189,576","60,623","47,432","36,368","29,511",8.94,1.85 ,9.6,19,"294,208"
01/03/2000,"16,347","62,386","160,044","238,777","38,150","176,025","49,216","56,887","31,107","26,402",6.92,1.74 ,9.7,19,"276,927"
01/06/2000,"15,218","70,463","166,882","252,563","40,225","189,996","52,695","53,911","34,983","30,239",6.51,1.81 ,9.7,18.5,"292,789"
01/09/2000,"15,178","71,089","178,914","265,181","43,715","200,012","54,588","53,879","40,155","33,768",7.77,1.84 ,9.7,16.5,"308,896"
